second,cluster_id,threat,node_ids,genders,gestures
13,2,GREEN,"8,10,24","male,female,male","WALKING,WALKING,WALKING"
1,1,GREEN,"3,1,5,4","male,male,female,female","SHOVING,SHOVING,SHOVING,WALKING"
1,2,GREEN,"6,2","female,female","WALKING,SHOVING"
2,1,RED,"4,2,5,1,3,6","female,male,male,female,female,female","SHOVING,SHOVING,RAISED_HAND,SHOVING,WALKING,WALKING"
2,2,RED,8,male,RAISED_HAND
3,1,GREEN,"4,2,5,1,3,6","female,female,male,male,male,female","SHOVING,WALKING,WALKING,SHOVING,WALKING,WALKING"
3,2,GREEN,8,female,WALKING
4,1,GREEN,"4,2,5,1,3,6","female,male,male,female,male,female","SHOVING,SHOVING,WALKING,SHOVING,WALKING,WALKING"
4,2,GREEN,"10,8","female,female","WALKING,WALKING"
5,1,GREEN,"4,2,5,1,3,6","male,female,male,female,male,female","SHOVING,SHOVING,WALKING,SHOVING,WALKING,WALKING"
5,2,GREEN,"10,8","female,female","WALKING,WALKING"
1,1,GREEN,"4,3,1,5","male,male,female,female","WALKING,SHOVING,SHOVING,SHOVING"
1,2,GREEN,"6,2","female,female","WALKING,SHOVING"
2,1,RED,"6,3,1,4,5,2","female,male,male,female,female,male","WALKING,WALKING,SHOVING,SHOVING,RAISED_HAND,SHOVING"
2,2,RED,8,female,RAISED_HAND
1,1,GREEN,"4,1,3,5","female,female,male,male","WALKING,SHOVING,SHOVING,SHOVING"
1,2,GREEN,"6,2","female,female","WALKING,SHOVING"
2,1,RED,"1,2,5,4,6,3","female,male,male,female,male,female","SHOVING,SHOVING,RAISED_HAND,SHOVING,WALKING,WALKING"
2,2,RED,8,female,RAISED_HAND
3,1,GREEN,"1,2,5,4,6,3","female,female,female,male,male,male","SHOVING,WALKING,WALKING,SHOVING,WALKING,WALKING"
3,2,GREEN,8,male,WALKING
4,1,GREEN,"1,2,5,4,6,3","male,female,female,female,male,male","SHOVING,SHOVING,WALKING,SHOVING,WALKING,WALKING"
4,2,GREEN,"8,10","male,male","WALKING,WALKING"
1,1,GREEN,"1,4,3,5","male,female,female,female","SHOVING,WALKING,SHOVING,SHOVING"
1,1,GREEN,"4,3,5,1","female,male,female,male","WALKING,SHOVING,SHOVING,SHOVING"
1,1,GREEN,"3,4,5,1","male,female,female,female","SHOVING,WALKING,SHOVING,SHOVING"
